key,value,date
Art and Humanity,696,07/01/17
Art and Humanity,696,08/01/17
Art and Humanity,598,09/01/17
Art and Humanity,532,10/01/17
Art and Humanity,498,11/01/17
Art and Humanity,455,12/01/17
Art and Humanity,536,01/01/18
Art and Humanity,532,02/01/18
Art and Humanity,550,03/01/18
Art and Humanity,464,04/01/18
Art and Humanity,446,05/01/18
Art and Humanity,366,06/01/18
Art and Humanity,273,07/01/18
Art and Humanity,318,08/01/18
Art and Humanity,319,09/01/18
Art and Humanity,372,10/01/18
Art and Humanity,363,11/01/18
Art and Humanity,316,12/01/18
Art and Humanity,460,01/01/19
Art and Humanity,469,02/01/19
Art and Humanity,539,03/01/19
Art and Humanity,456,04/01/19
Art and Humanity,461,05/01/19
Art and Humanity,446,06/01/19
Art and Humanity,447,07/01/19
Art and Humanity,423,08/01/19
Art and Humanity,409,09/01/19
Art and Humanity,443,10/01/19
Art and Humanity,435,11/01/19
Art and Humanity,437,12/01/19
Art and Humanity,476,01/01/20
Art and Humanity,439,02/01/20
Art and Humanity,665,03/01/20
Art and Humanity,1945,04/01/20
Art and Humanity,3437,05/01/20
Art and Humanity,3006,06/01/20
Art and Humanity,2944,07/01/20
Art and Humanity,2534,08/01/20
Art and Humanity,2216,09/01/20
Art and Humanity,2110,10/01/20
Art and Humanity,2282,11/01/20
Art and Humanity,1531,12/01/20
Art and Humanity,1308,01/01/21
Art and Humanity,1224,02/01/21
Art and Humanity,1231,03/01/21
Art and Humanity,1034,04/01/21
Art and Humanity,923,05/01/21
Art and Humanity,840,06/01/21
Art and Humanity,950,07/01/21
Art and Humanity,982,08/01/21
Art and Humanity,962,09/01/21
Art and Humanity,53,10/01/21
Data Science,26,08/01/15
Data Science,75,09/01/15
Data Science,210,10/01/15
Data Science,289,11/01/15
Data Science,464,12/01/15
Data Science,761,01/01/16
Data Science,1277,02/01/16
Data Science,1066,03/01/16
Data Science,663,04/01/16
Data Science,638,05/01/16
Data Science,818,06/01/16
Data Science,419,07/01/16
Data Science,781,08/01/16
Data Science,674,09/01/16
Data Science,1015,10/01/16
Data Science,1067,11/01/16
Data Science,965,12/01/16
Data Science,1045,01/01/17
Data Science,963,02/01/17
Data Science,968,03/01/17
Data Science,927,04/01/17
Data Science,1147,05/01/17
Data Science,1472,06/01/17
Data Science,1637,07/01/17
Data Science,1960,08/01/17
Data Science,1987,09/01/17
Data Science,1990,10/01/17
Data Science,2082,11/01/17
Data Science,1799,12/01/17
Data Science,1655,01/01/18
Data Science,1826,02/01/18
Data Science,1876,03/01/18
Data Science,1678,04/01/18
Data Science,1576,05/01/18
Data Science,1599,06/01/18
Data Science,1565,07/01/18
Data Science,1562,08/01/18
Data Science,1686,09/01/18
Data Science,1723,10/01/18
Data Science,1673,11/01/18
Data Science,1628,12/01/18
Data Science,2016,01/01/19
Data Science,1954,02/01/19
Data Science,2323,03/01/19
Data Science,1912,04/01/19
Data Science,2163,05/01/19
Data Science,2434,06/01/19
Data Science,2764,07/01/19
Data Science,2749,08/01/19
Data Science,2614,09/01/19
Data Science,2476,10/01/19
Data Science,2561,11/01/19
Data Science,2856,12/01/19
Data Science,3301,01/01/20
Data Science,2942,02/01/20
Data Science,3909,03/01/20
Data Science,8833,04/01/20
Data Science,11682,05/01/20
Data Science,9494,06/01/20
Data Science,8645,07/01/20
Data Science,6928,08/01/20
Data Science,5503,09/01/20
Data Science,4507,10/01/20
Data Science,3655,11/01/20
Data Science,3260,12/01/20
Data Science,2986,01/01/21
Data Science,2670,02/01/21
Data Science,3163,03/01/21
Data Science,3871,04/01/21
Data Science,3705,05/01/21
Data Science,3440,06/01/21
Data Science,3679,07/01/21
Data Science,3429,08/01/21
Data Science,3229,09/01/21
Data Science,201,10/01/21
