,title,institute,rate,ratingscount,level,enrollment,review_num,required_hour
286,Python: обработка и анализ данных и ИИ,IBM,4.5,,1,,,29.0
287,Introduction to Microsoft Azure Synapse Analytics,Microsoft,4.5,,2,,,8.0
288,Estatística não-paramétrica para a tomada de decisão,Universidade de São Paulo,4.4,108,2,9098,31,13.0
289,Introdução ao Big Data,Fundação Instituto de Administração,4.6,306,1,14669,91,16.0
290,Improving Your Statistical Questions,Eindhoven University of Technology,4.9,89,2,5515,19,18.0
291,Leveraging Unstructured Data with Cloud Dataproc on Google Cloud em Português Brasileiro,Google Cloud,4.6,13,2,,,11.0
292,Mathematical Biostatistics Boot Camp 2,Johns Hopkins University,4.4,99,0,,,17.0
293,Introduction to Machine Learning in Sports Analytics,University of Michigan,4.5,,2,,,13.0
294,Machine Learning: Classification,University of Washington,4.7,3596,0,110915,597,21.0
295,Wearable Technologies and Sports Analytics,University of Michigan,4.5,,2,,,28.0
296,Reinforcement Learning: Qwik Start,Google Cloud,4.5,,1,,,1.0
297,Metodología de la ciencia de datos,IBM,4.8,20,1,,3,10.0
298,Measurement – Turning Concepts into Data,Johns Hopkins University,4.8,45,1,,15,11.0
299,Introduction to Data Science and scikit-learn in Python,LearnQuest,4.5,,1,,,14.0
300,Practical Crowdsourcing for Efficient Machine Learning,Yandex,3.0,6,1,6560,,17.0
301,Введение в теорию построения процедур множественной проверки гипотез,HSE University,4.5,,2,,,17.0
302,Functional Programming in Scala Capstone,École Polytechnique Fédérale de Lausanne,4.4,530,0,12142,91,27.0
303,Command Line Tools for Genomic Data Science,Johns Hopkins University,4.1,465,0,,,17.0
304,Linear Regression for Business Statistics,Rice University,4.8,1214,0,34299,200,28.0
305,Natural Language Processing in Microsoft Azure,Microsoft,4.9,14,1,,,8.0
306,Analyzing Big Data with SQL,Cloudera,4.9,430,1,19850,115,18.0
307,Predictive Modeling with Logistic Regression using SAS,SAS,4.6,28,2,1535,7,17.0
308,Business Analytics and Digital Media,Indian School of Business,4.4,642,1,20420,134,8.0
309,Introduction to Bayesian Statistics,Databricks,2.7,11,1,,,13.0
310,Introduction to Clinical Data Science,University of Colorado System,4.6,298,2,11829,88,8.0
311,Sequence Models for Time Series and Natural Language Processing,Google Cloud,4.4,463,3,14017,66,15.0
312,Big Data: adquisición y almacenamiento de datos,Universitat Autònoma de Barcelona,4.4,581,2,14673,258,11.0
313,Information Visualization: Advanced Techniques,New York University,4.7,29,2,3327,10,16.0
314,Advanced AI Techniques for the Supply Chain,LearnQuest,4.5,,2,,,22.0
315,Information Visualization: Applied Perception,New York University,4.8,93,1,3638,28,12.0
316,تحليل البيانات باستخدام بايثون,IBM,4.5,,1,,,18.0
317,Python: Istruzioni per l’uso,Università di Napoli Federico II,3.8,11,1,,,16.0
318,機器學習基石下 (Machine Learning Foundations)---Algorithmic Foundations,National Taiwan University,4.9,298,2,13298,55,9.0
319,Data Science with R - Capstone Project,IBM,4.5,,2,,,14.0
320,Conceptos Básicos de Excel para el Análisis de Datos,IBM,3.9,36,1,2242,19,12.0
321,Practicing for the SAS Programming Certification Exam,SAS,4.9,25,2,,2,9.0
322,Введение в данные,Novosibirsk State University ,4.7,154,2,9480,29,16.0
323,Fundamentals of Data Visualization,University of Colorado Boulder,4.5,,2,,,14.0
324,Ethical Issues in Data Science,University of Colorado Boulder,4.3,9,1,,,24.0
325,Data Analytics in Accounting Capstone,University of Illinois at Urbana-Champaign,4.5,,2,1714,,19.0
326,Pattern Discovery in Data Mining,University of Illinois at Urbana-Champaign,4.3,298,0,,,17.0
327,Bayesian Statistics,Duke University,3.8,759,2,,,17.0
328,"Business Intelligence Concepts, Tools, and Applications",University of Colorado System,4.5,582,0,,,17.0
329,Основы машинного обучения,HSE University,4.6,27,2,1914,,48.0
330,Fundamentals of Machine Learning for Supply Chain,LearnQuest,4.5,,1,,,13.0
331,AI Workflow: Data Analysis and Hypothesis Testing,IBM,4.2,90,3,2736,15,11.0
332,Building R Packages,Johns Hopkins University,4.1,211,2,9686,56,21.0
333,Managing Machine Learning Projects with Google Cloud,Google Cloud,4.6,3522,1,109398,927,14.0
334,Applied Data Science for Data Analysts,Databricks,4.2,24,2,1632,6,16.0
335,Advanced Linear Models for Data Science 1: Least Squares,Johns Hopkins University,4.4,157,3,24946,39,8.0
336,Machine Learning Rapid Prototyping with IBM Watson Studio,IBM,4.5,,2,,,9.0
337,Computer Simulations,"University of California, Davis",4.6,48,1,4423,12,13.0
338,Prediction Models with Sports Data,University of Michigan,4.5,,0,,,33.0
339,Machine Learning With Big Data,University of California San Diego,4.6,2347,0,,,17.0
340,Analyzing a Tennis Serve with the Video Intelligence API,Google Cloud,4.5,,2,,,1.0
341,"Data – What It Is, What We Can Do With It",Johns Hopkins University,4.5,70,1,2748,17,11.0
342,Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,4.1,50,2,7760,15,32.0
343,Basic Data Processing and Visualization,University of California San Diego,4.3,166,2,16803,48,11.0
344,Serverless Data Processing with Dataflow: Operations,Google Cloud,4.5,,3,,,10.0
345,Practical Machine Learning,Johns Hopkins University,4.5,3156,0,,,17.0
346,Predictive Modeling and Analytics,University of Colorado Boulder,3.6,534,0,27676,196,11.0
347,Fundamentos de probabilidad y aplicaciones,Universidad de los Andes,4.8,58,2,4005,21,16.0
348,Analytics en las organizaciones,Universidad de los Andes,4.8,11,1,,7,19.0
349,MongoDB Aggregation Framework,MongoDB Inc.,4.6,44,2,8246,11,19.0
350,The Fundamental of Data-Driven Investment,Sungkyunkwan University,4.5,,1,,,19.0
351,Redes Ecológicas,Universidade de São Paulo,5.0,19,1,,5,18.0
352,Graph Analytics for Big Data,University of California San Diego,4.3,1179,0,41945,224,13.0
353,Сбор и анализ данных в Python,HSE University,4.5,10,2,,6,21.0
354,Recommendation Systems with TensorFlow on GCP,Google Cloud,4.5,423,3,13824,73,13.0
355,Preparing for AI-900: Microsoft Azure AI Fundamentals exam,Microsoft,5.0,8,1,,,10.0
356,Herramientas para la ciencia de datos,IBM,4.4,23,1,,8,16.0
357,Cluster Analysis in Data Mining,University of Illinois at Urbana-Champaign,4.5,382,0,,,17.0
358,2D image processing,HSE University,4.5,,1,,,14.0
359,Bioconductor for Genomic Data Science,Johns Hopkins University,3.9,296,0,,,17.0
360,Managing Machine Learning Projects,Duke University,4.5,,1,,,18.0
361,Data Visualization with R,IBM,4.5,,1,,,10.0
362,Regression Modeling Fundamentals,SAS,4.8,24,2,,5,12.0
363,Big Data: el impacto de los datos masivos en la sociedad actual,Universitat Autònoma de Barcelona,4.7,1922,1,30802,724,7.0
364,Python для анализа данных,Moscow Institute of Physics and Technology,4.5,102,2,12969,23,37.0
365,Введение в анализ данных с помощью Excel,Rice University,4.5,,0,,,17.0
366,Developing AI Applications on Azure,LearnQuest,4.4,936,3,43655,257,16.0
367,Машинное обучение и большие данные,National Research Nuclear University MEPhI,4.5,,1,,,27.0
368,Regression Models,Johns Hopkins University,4.4,3264,0,,,17.0
369,Анализ данных с использованием Python,IBM,4.5,,1,,,19.0
370,Introduction to Neurohacking In R,Johns Hopkins University,4.6,253,2,19559,49,18.0
371,Fundamentals of Machine Learning in Finance,New York University,3.8,296,2,16074,62,18.0
372,¿Qué es la ciencia de datos?,IBM,4.7,74,1,,27,8.0
373,Reinforcement Learning in Finance,New York University,3.6,113,3,15794,30,17.0
374,Big Data Integration and Processing,University of California San Diego,4.4,2284,1,63773,493,18.0
375,Managing Big Data in Clusters and Cloud Storage,Cloudera,4.7,235,1,8845,53,21.0
376,Text Mining and Analytics,University of Illinois at Urbana-Champaign,4.5,646,0,,,17.0
377,Introduction to Statistical Analysis:  Hypothesis Testing,SAS,4.7,50,2,4231,13,10.0
378,Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud,4.2,9,3,,,19.0
379,Reproducible Research,Johns Hopkins University,4.6,4068,0,,,17.0
380,Business Applications of Hypothesis Testing and Confidence Interval Estimation,Rice University,4.8,1155,0,25323,201,25.0
381,ML Pipelines on Google Cloud,Google Cloud,3.9,20,3,3598,3,11.0
382,Introduction to Predictive Modeling,University of Minnesota,5.0,20,0,,7,12.0
383,Inferential Statistics,University of Amsterdam,4.3,515,0,,,17.0
384,Data Storage in Microsoft Azure,Microsoft,4.5,,2,,,16.0
385,Data Integration with Microsoft Azure Data Factory,Microsoft,4.5,,2,,,16.0
